Name,Description,Web URL,Publish date,Author,Published in
Deep learning,Research contribution by Yoshua Bengio,https://scholar.google.com/citations?user=kukA0LcAAAAJ,N/A,Yoshua Bengio,Université de Montréal
Gradient-based learning applied to document recognition,Research contribution by Yoshua Bengio,https://scholar.google.com/citations?user=kukA0LcAAAAJ,N/A,Yoshua Bengio,Université de Montréal
Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,Research contribution by Yoshua Bengio,https://scholar.google.com/citations?user=kukA0LcAAAAJ,N/A,Yoshua Bengio,Université de Montréal
Generative adversarial networks,Research contribution by Yoshua Bengio,https://scholar.google.com/citations?user=kukA0LcAAAAJ,N/A,Yoshua Bengio,Université de Montréal
Understanding the difficulty of training deep feedforward neural networks,Research contribution by Yoshua Bengio,https://scholar.google.com/citations?user=kukA0LcAAAAJ,N/A,Yoshua Bengio,Université de Montréal
Latent dirichlet allocation,Research contribution by Michael I Jordan,https://scholar.google.com/scholar?q=Michael+I+Jordan,N/A,Michael I Jordan,Institut national de recherche en sciences et technologies du numérique
"Machine learning: Trends, perspectives, and prospects",Research contribution by Michael I Jordan,https://scholar.google.com/scholar?q=Michael+I+Jordan,N/A,Michael I Jordan,Institut national de recherche en sciences et technologies du numérique
On Spectral Clustering: Analysis and an algorithm,Research contribution by Michael I Jordan,https://scholar.google.com/scholar?q=Michael+I+Jordan,N/A,Michael I Jordan,Institut national de recherche en sciences et technologies du numérique
Adaptive Mixtures of Local Experts,Research contribution by Michael I Jordan,https://scholar.google.com/scholar?q=Michael+I+Jordan,N/A,Michael I Jordan,Institut national de recherche en sciences et technologies du numérique
An Introduction to Variational Methods for Graphical Models,Research contribution by Michael I Jordan,https://scholar.google.com/scholar?q=Michael+I+Jordan,N/A,Michael I Jordan,Institut national de recherche en sciences et technologies du numérique
Accurate prediction of protein structures and interactions using a three-track neural network,Research contribution by David Baker,https://scholar.google.com/scholar?q=David+Baker,N/A,David Baker,Wesleyan University
Protein structure prediction and analysis using the Robetta server,Research contribution by David Baker,https://scholar.google.com/scholar?q=David+Baker,N/A,David Baker,Wesleyan University
Rosetta3,Research contribution by David Baker,https://scholar.google.com/scholar?q=David+Baker,N/A,David Baker,Wesleyan University
Protein Structure Prediction Using Rosetta,Research contribution by David Baker,https://scholar.google.com/scholar?q=David+Baker,N/A,David Baker,Wesleyan University
Design of a Novel Globular Protein Fold with Atomic-Level Accuracy,Research contribution by David Baker,https://scholar.google.com/scholar?q=David+Baker,N/A,David Baker,Wesleyan University
Deep learning,Research contribution by Geoffrey Hinton,https://scholar.google.com/citations?user=JicYPdAAAAAJ,N/A,Geoffrey Hinton,University of Toronto
ImageNet classification with deep convolutional neural networks,Research contribution by Geoffrey Hinton,https://scholar.google.com/citations?user=JicYPdAAAAAJ,N/A,Geoffrey Hinton,University of Toronto
Visualizing Data using t-SNE,Research contribution by Geoffrey Hinton,https://scholar.google.com/citations?user=JicYPdAAAAAJ,N/A,Geoffrey Hinton,University of Toronto
Dropout: a simple way to prevent neural networks from overfitting,Research contribution by Geoffrey Hinton,https://scholar.google.com/citations?user=JicYPdAAAAAJ,N/A,Geoffrey Hinton,University of Toronto
Learning representations by back-propagating errors,Research contribution by Geoffrey Hinton,https://scholar.google.com/citations?user=JicYPdAAAAAJ,N/A,Geoffrey Hinton,University of Toronto
Deep learning,Research contribution by Yann LeCun,https://scholar.google.com/scholar?q=Yann+LeCun,N/A,Yann LeCun,Courant Institute of Mathematical Sciences
Gradient-based learning applied to document recognition,Research contribution by Yann LeCun,https://scholar.google.com/scholar?q=Yann+LeCun,N/A,Yann LeCun,Courant Institute of Mathematical Sciences
Backpropagation Applied to Handwritten Zip Code Recognition,Research contribution by Yann LeCun,https://scholar.google.com/scholar?q=Yann+LeCun,N/A,Yann LeCun,Courant Institute of Mathematical Sciences
Dimensionality Reduction by Learning an Invariant Mapping,Research contribution by Yann LeCun,https://scholar.google.com/scholar?q=Yann+LeCun,N/A,Yann LeCun,Courant Institute of Mathematical Sciences
"Convolutional networks for images, speech, and time series",Research contribution by Yann LeCun,https://scholar.google.com/scholar?q=Yann+LeCun,N/A,Yann LeCun,Courant Institute of Mathematical Sciences
Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,Research contribution by Jitendra Malik,https://scholar.google.com/citations?user=oY9R5YQAAAAJ,N/A,Jitendra Malik,Berkeley College
Normalized cuts and image segmentation,Research contribution by Jitendra Malik,https://scholar.google.com/citations?user=oY9R5YQAAAAJ,N/A,Jitendra Malik,Berkeley College
Scale-space and edge detection using anisotropic diffusion,Research contribution by Jitendra Malik,https://scholar.google.com/citations?user=oY9R5YQAAAAJ,N/A,Jitendra Malik,Berkeley College
A database of human segmented natural images and its application to evaluating segmentation algorithms and measuring ecological statistics,Research contribution by Jitendra Malik,https://scholar.google.com/citations?user=oY9R5YQAAAAJ,N/A,Jitendra Malik,Berkeley College
Shape matching and object recognition using shape contexts,Research contribution by Jitendra Malik,https://scholar.google.com/citations?user=oY9R5YQAAAAJ,N/A,Jitendra Malik,Berkeley College
Glove: Global Vectors for Word Representation,Research contribution by Christopher Manning,https://scholar.google.com/citations?user=1zmDOdwAAAAJ,N/A,Christopher Manning,Cell Signaling Technology (United States)
Introduction to Information Retrieval,Research contribution by Christopher Manning,https://scholar.google.com/citations?user=1zmDOdwAAAAJ,N/A,Christopher Manning,Cell Signaling Technology (United States)
Foundations of statistical natural language processing,Research contribution by Christopher Manning,https://scholar.google.com/citations?user=1zmDOdwAAAAJ,N/A,Christopher Manning,Cell Signaling Technology (United States)
Effective Approaches to Attention-based Neural Machine Translation,Research contribution by Christopher Manning,https://scholar.google.com/citations?user=1zmDOdwAAAAJ,N/A,Christopher Manning,Cell Signaling Technology (United States)
The Stanford CoreNLP Natural Language Processing Toolkit,Research contribution by Christopher Manning,https://scholar.google.com/citations?user=1zmDOdwAAAAJ,N/A,Christopher Manning,Cell Signaling Technology (United States)
ImageNet classification with deep convolutional neural networks,Research contribution by Ilya Sutskever,https://scholar.google.com/citations?user=x04W_mMAAAAJ,N/A,Ilya Sutskever,Safe Superintelligence
Dropout: a simple way to prevent neural networks from overfitting,Research contribution by Ilya Sutskever,https://scholar.google.com/citations?user=x04W_mMAAAAJ,N/A,Ilya Sutskever,Safe Superintelligence
Distributed Representations of Words and Phrases and their Compositionality,Research contribution by Ilya Sutskever,https://scholar.google.com/citations?user=x04W_mMAAAAJ,N/A,Ilya Sutskever,Safe Superintelligence
Mastering the game of Go with deep neural networks and tree search,Research contribution by Ilya Sutskever,https://scholar.google.com/citations?user=x04W_mMAAAAJ,N/A,Ilya Sutskever,Safe Superintelligence
Sequence to Sequence Learning with Neural Networks,Research contribution by Ilya Sutskever,https://scholar.google.com/citations?user=x04W_mMAAAAJ,N/A,Ilya Sutskever,Safe Superintelligence
A Survey on Transfer Learning,Research contribution by Qiang Yang,https://scholar.google.com/scholar?q=Qiang+Yang,N/A,Qiang Yang,Beijing Institute of Petrochemical Technology
Top 10 algorithms in data mining,Research contribution by Qiang Yang,https://scholar.google.com/scholar?q=Qiang+Yang,N/A,Qiang Yang,Beijing Institute of Petrochemical Technology
Federated Machine Learning,Research contribution by Qiang Yang,https://scholar.google.com/scholar?q=Qiang+Yang,N/A,Qiang Yang,Beijing Institute of Petrochemical Technology
Graph Embedding and Extensions: A General Framework for Dimensionality Reduction,Research contribution by Qiang Yang,https://scholar.google.com/scholar?q=Qiang+Yang,N/A,Qiang Yang,Beijing Institute of Petrochemical Technology
Federated Learning in Mobile Edge Networks: A Comprehensive Survey,Research contribution by Qiang Yang,https://scholar.google.com/scholar?q=Qiang+Yang,N/A,Qiang Yang,Beijing Institute of Petrochemical Technology
Highly accurate protein structure prediction with AlphaFold,Research contribution by Demis Hassabis,https://scholar.google.com/citations?user=dYpPMQEAAAAJ,N/A,Demis Hassabis,Google DeepMind (United Kingdom)
