Name,Description,X,Avatar,Topics,Works at,Role,Papers
Yoshua Bengio,Professor,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/ICLR_2025_-_Yoshua_Bengio_02.jpg/330px-ICLR_2025_-_Yoshua_Bengio_02.jpg,Artificial Intelligence; Computer Science; Artificial Neural Networks; Machine Learning,Université de Montréal,Professor,Deep learning; Gradient-based learning applied to document recognition; Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation; Generative adversarial networks; Understanding the difficulty of training deep feedforward neural networks
Michael I Jordan,Professor,,https://api.dicebear.com/9.x/initials/svg?seed=Michael%20I%20Jordan&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning,Institut national de recherche en sciences et technologies du numérique,Professor,"Latent dirichlet allocation; Machine learning: Trends, perspectives, and prospects; On Spectral Clustering: Analysis and an algorithm; Adaptive Mixtures of Local Experts; An Introduction to Variational Methods for Graphical Models"
David Baker,Professor,,https://api.dicebear.com/9.x/initials/svg?seed=David%20Baker&fontWeight=700&radius=16,Computer Science,Wesleyan University,Professor,Accurate prediction of protein structures and interactions using a three-track neural network; Protein structure prediction and analysis using the Robetta server; Rosetta3; Protein Structure Prediction Using Rosetta; Design of a Novel Globular Protein Fold with Atomic-Level Accuracy
Geoffrey Hinton,Computer Scientist,https://x.com/geoffreyhinton,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Geoffrey_E._Hinton%2C_2024_Nobel_Prize_Laureate_in_Physics_%28cropped1%29.jpg/330px-Geoffrey_E._Hinton%2C_2024_Nobel_Prize_Laureate_in_Physics_%28cropped1%29.jpg,Artificial Intelligence; Computer Science; Machine Learning; Artificial Neural Networks,University of Toronto,Computer Scientist,Deep learning; ImageNet classification with deep convolutional neural networks; Visualizing Data using t-SNE; Dropout: a simple way to prevent neural networks from overfitting; Learning representations by back-propagating errors
Yann LeCun,Computer Scientist,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Laura_Chaubard_%26_Yann_Le_Cun_-_2024_%2853814052697%29_%28cropped%29.jpg/330px-Laura_Chaubard_%26_Yann_Le_Cun_-_2024_%2853814052697%29_%28cropped%29.jpg,Artificial Intelligence; Computer Science; Machine Learning,Courant Institute of Mathematical Sciences,Computer Scientist,"Deep learning; Gradient-based learning applied to document recognition; Backpropagation Applied to Handwritten Zip Code Recognition; Dimensionality Reduction by Learning an Invariant Mapping; Convolutional networks for images, speech, and time series"
Jitendra Malik,Computer Scientist,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/180906-N-PO203-0045_%2843874899564%29.jpg/330px-180906-N-PO203-0045_%2843874899564%29.jpg,Computer Vision; Computer Science; Artificial Intelligence,Berkeley College,Computer Scientist,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation; Normalized cuts and image segmentation; Scale-space and edge detection using anisotropic diffusion; A database of human segmented natural images and its application to evaluating segmentation algorithms and measuring ecological statistics; Shape matching and object recognition using shape contexts
Christopher Manning,Computer Scientist,https://x.com/chrmanning,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/SD_2025_-_Christopher_Manning_04_%28cropped%29.jpg/330px-SD_2025_-_Christopher_Manning_04_%28cropped%29.jpg,Natural Language Processing; Artificial Intelligence; Computer Science,Cell Signaling Technology (United States),Computer Scientist,Glove: Global Vectors for Word Representation; Introduction to Information Retrieval; Foundations of statistical natural language processing; Effective Approaches to Attention-based Neural Machine Translation; The Stanford CoreNLP Natural Language Processing Toolkit
Ilya Sutskever,Computer Scientist,https://x.com/ilyasut,https://upload.wikimedia.org/wikipedia/commons/d/d4/Ilya_Sutskever_and_Sam_Altman_in_TAU_%28cropped%29.jpg,Artificial Intelligence; Computer Science; Machine Learning; Artificial Neural Networks,Safe Superintelligence,Computer Scientist,ImageNet classification with deep convolutional neural networks; Dropout: a simple way to prevent neural networks from overfitting; Distributed Representations of Words and Phrases and their Compositionality; Mastering the game of Go with deep neural networks and tree search; Sequence to Sequence Learning with Neural Networks
Qiang Yang,Professor,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Qiang_Yang.jpg/330px-Qiang_Yang.jpg,Artificial Intelligence; Computer Science; Machine Learning,Beijing Institute of Petrochemical Technology,Professor,A Survey on Transfer Learning; Top 10 algorithms in data mining; Federated Machine Learning; Graph Embedding and Extensions: A General Framework for Dimensionality Reduction; Federated Learning in Mobile Edge Networks: A Comprehensive Survey
Demis Hassabis,Computer Scientist,https://x.com/demishassabis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Demis_Hassabis%2C_2024_Nobel_Prize_Laureate_in_Chemistry_7_%28cropped%29.jpg/330px-Demis_Hassabis%2C_2024_Nobel_Prize_Laureate_in_Chemistry_7_%28cropped%29.jpg,Artificial Intelligence; Computer Science; Machine Learning,Google DeepMind (United Kingdom),Computer Scientist,Highly accurate protein structure prediction with AlphaFold; Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search; Accurate structure prediction of biomolecular interactions with AlphaFold 3; Mastering the game of Go without human knowledge
