id,name,avatar_url,current_affiliation_id,current_affiliation_name,role_title,research_area_ids,research_areas,google_scholar_url,personal_website_url,twitter_handle,notable_papers_or_contributions,h_index,citation_count,influence_score,previous_affiliation_ids,previous_affiliations,education_ids,education
person:yoshua-bengio,Yoshua Bengio,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/ICLR_2025_-_Yoshua_Bengio_02.jpg/330px-ICLR_2025_-_Yoshua_Bengio_02.jpg,org:universite-de-montreal,Université de Montréal,Professor,topic:artificial-intelligence; topic:computer-science; topic:artificial-neural-networks; topic:machine-learning,Artificial Intelligence; Computer Science; Artificial Neural Networks; Machine Learning,https://scholar.google.com/citations?user=kukA0LcAAAAJ,http://www.iro.umontreal.ca/~bengioy/yoshua_en/index.html,,Deep learning; Gradient-based learning applied to document recognition; Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation; Generative adversarial networks; Understanding the difficulty of training deep feedforward neural networks,183,440264,0.9009,,,org:mcgill-university; org:massachusetts-institute-of-technology,McGill University; Massachusetts Institute of Technology
person:christopher-m-bishop,Christopher M Bishop,,,,Computer Scientist,topic:computer-science,Computer Science,https://scholar.google.com/scholar?q=Christopher+M+Bishop,,,"Pattern Recognition and Machine Learning; Developmental Profiles of Eczema, Wheeze, and Rhinitis: Two Population-Based Birth Cohort Studies; Trajectories of Lung Function during Childhood; Proceedings 16th European Conference on Controlled Fusion and Plasma Physics; Evaluation of Deep Learning to Augment Image-Guided Radiotherapy for Head and Neck and Prostate Cancers",9,22740,0.15,,,,
person:noam-shazeer,Noam Shazeer,,org:google-united-states,Google (United States),Computer Scientist,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science,Natural Language Processing; Artificial Intelligence; Computer Science,https://scholar.google.com/citations?user=wsGvgA8AAAAJ,https://www.noamshazeer.com/,@NoamShazeer,MizAR 60 for Mizar 50; Exploring the Limits of Transfer Learning with a Unified Text-to-Text\n Transformer; Attention Is All You Need; Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer; PaLM: Scaling Language Modeling with Pathways,36,101868,0.373,org:character-ai,Character.ai,org:duke-university,Duke University
person:ashish-vaswani,Ashish Vaswani,,org:google-united-states,Google (United States),Computer Scientist,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Natural Language Processing; Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=6rUjwXUAAAAJ,,@ashVaswani,"MizAR 60 for Mizar 50; Attention Is All You Need; Relational inductive biases, deep learning, and graph networks; Music Transformer: Generating Music with Long-Term Structure; Self-Attention with Relative Position Representations",29,84929,0.3269,,,org:university-of-southern-california,University of Southern California
person:raia-hadsell,Raia Hadsell,,,,Computer Scientist,topic:reinforcement-learning; topic:artificial-intelligence; topic:computer-science; topic:machine-learning; topic:robotics,Reinforcement Learning; Artificial Intelligence; Computer Science; Machine Learning; Robotics,https://scholar.google.com/citations?user=Q0YEc-QAAAAJ,,@RaiaHadsell,"Overcoming catastrophic forgetting in neural networks; Dimensionality Reduction by Learning an Invariant Mapping; Learning a Similarity Metric Discriminatively, with Application to Face Verification; Progressive Neural Networks; Skilful precipitation nowcasting using deep generative models of radar",39,24357,0.1877,,,org:new-york-university,New York University
person:geoffrey-irving,Geoffrey Irving,,org:openai,OpenAI,Computer Scientist,topic:artificial-intelligence; topic:computer-science,Artificial Intelligence; Computer Science,https://scholar.google.com/scholar?q=Geoffrey+Irving,https://naml.us/,@geoffreyirving,TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems; TensorFlow: A system for large-scale machine learning; TensorFlow: a system for large-scale machine learning; Taxonomy of Risks posed by Language Models; Fine-Tuning Language Models from Human Preferences,30,29468,0.189,org:google-brain,Google Brain,org:stanford-university; org:california-institute-of-technology,Stanford University; California Institute of Technology
person:alec-radford,Alec Radford,,org:openai,OpenAI,Computer Scientist,topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=dOad5HoAAAAJ,https://newmu.github.io/,@AlecRad,Unsupervised Representation Learning with Deep Convolutional Generative\n Adversarial Networks; Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks; Learning Transferable Visual Models From Natural Language Supervision; Language Models are Few-Shot Learners; Scaling Laws for Neural Language Models,22,32362,0.1864,,,org:franklin-w-olin-college-of-engineering; org:cistercian-preparatory-school,Franklin W. Olin College of Engineering; Cistercian Preparatory School
person:ilya-sutskever,Ilya Sutskever,https://upload.wikimedia.org/wikipedia/commons/d/d4/Ilya_Sutskever_and_Sam_Altman_in_TAU_%28cropped%29.jpg,org:safe-superintelligence,Safe Superintelligence,Computer Scientist,topic:artificial-intelligence; topic:computer-science; topic:machine-learning; topic:artificial-neural-networks,Artificial Intelligence; Computer Science; Machine Learning; Artificial Neural Networks,https://scholar.google.com/citations?user=x04W_mMAAAAJ,https://www.cs.toronto.edu/~ilya/,@ilyasut,ImageNet classification with deep convolutional neural networks; Dropout: a simple way to prevent neural networks from overfitting; Distributed Representations of Words and Phrases and their Compositionality; Mastering the game of Go with deep neural networks and tree search; Sequence to Sequence Learning with Neural Networks,65,221747,0.6268,org:google-brain; org:safe-superintelligence-inc,Google Brain; Safe Superintelligence Inc.,org:stanford-university; org:university-of-toronto; org:open-university-of-israel,Stanford University; University of Toronto; Open University of Israel
person:samy-bengio,Samy Bengio,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Samy_Bengio_at_Apple_in_2021.jpg/330px-Samy_Bengio_at_Apple_in_2021.jpg,org:apple-israel,Apple (Israel),Computer Scientist,topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=Vs-MdPcAAAAJ,https://research.google.com/pubs/bengio.html,,Show and tell: A neural image caption generator; Understanding deep learning (still) requires rethinking generalization; DeViSE: A Deep Visual-Semantic Embedding Model; Adversarial Examples in the Physical World; Tacotron: Towards End-to-End Speech Synthesis,82,40928,0.2882,org:idiap-research-institute; org:apple-inc,Idiap Research Institute; Apple Inc.,org:universite-de-montreal,Université de Montréal
person:john-schulman,John Schulman,,org:openai,OpenAI,Computer Scientist,topic:reinforcement-learning; topic:computer-science; topic:artificial-intelligence; topic:machine-learning,Reinforcement Learning; Computer Science; Artificial Intelligence; Machine Learning,https://scholar.google.com/scholar?q=John+Schulman,http://joschu.net/,,Diagnosing Non-Intermittent Anomalies in Reinforcement Learning Policy Executions (Short Paper); Trust Region Policy Optimization; InfoGAN: Interpretable Representation Learning by Information Maximizing\n Generative Adversarial Nets; High-Dimensional Continuous Control Using Generalized Advantage Estimation; InfoGAN: Interpretable Representation Learning by Information Maximizing Generative Adversarial Nets,41,29243,0.2153,org:anthropic; org:thinking-machines-lab,Anthropic; Thinking Machines Lab,org:university-of-california-berkeley; org:california-institute-of-technology,"University of California, Berkeley; California Institute of Technology"
